trip_id,cab_id,start_ts,end_ts,duration_seconds,distance_miles,pickup_location_id,dropoff_location_id
188,78,2017-11-23 15:00,2017-11-23 15:00,0,0,0,0
189,78,2017-11-23 17:00,2017-11-23 17:00,0,0,0,0
190,78,2017-11-04 11:00,2017-11-04 11:00,720,2.4,0,0
191,37,2017-11-09 21:00,2017-11-09 21:00,0,0,0,0
192,4611,2017-11-07 22:00,2017-11-07 22:00,184,0.2,0,0
193,4611,2017-11-07 5:00,2017-11-07 5:00,2,0,0,0
194,709,2017-11-05 2:00,2017-11-05 2:00,240,0.9,0,0
195,15,2017-11-02 4:00,2017-11-02 4:00,360,0,0,0
196,4604,2017-11-17 20:00,2017-11-17 20:00,1,0,0,0
197,1481,2017-11-08 13:00,2017-11-08 13:00,0,0.04,0,0
198,1481,2017-11-20 12:00,2017-11-20 12:00,60,0.11,0,0
199,1481,2017-11-01 12:00,2017-11-01 12:00,120,0.41,0,0
200,4024,2017-11-21 6:00,2017-11-21 6:00,3,0,0,0
